player_name,IP,hr,k,bb,K%,BB%,hbp,xSLG,wOBA,xwOBA
"Brown, McCade",25.2,6,23,17,18.3,13.5,5,0.487,0.405,0.384
"Leiter, Jack",151.2,18,148,67,22.9,10.4,5,0.427,0.298,0.326
"Kelly, Kevin",39.2,11,35,9,20.5,5.3,0,0.573,0.364,0.381
"Hendriks, Liam",13.2,2,12,7,20.3,11.9,1,0.521,0.313,0.375
"Garcia, Luis",7.2,2,7,0,25.9,0,1,0.365,0.21,0.229
"Cease, Dylan",168,21,215,71,29.8,9.8,5,0.359,0.313,0.29
"Peralta, Wandy",71.2,5,63,30,20.1,9.6,2,0.386,0.293,0.311
"Suárez, Albert",11.2,0,10,2,22.7,4.5,1,0.316,0.251,0.256
"Dreyer, Jack",76.1,4,74,24,24.1,7.8,0,0.33,0.247,0.257
"Irvin, Jake",180,38,124,62,15.8,7.9,6,0.505,0.355,0.36
"Chapman, Aroldis",61.1,3,85,15,37.3,6.6,0,0.278,0.177,0.227
"Gipson-Long, Sawyer",31.1,8,26,6,19.5,4.5,2,0.557,0.362,0.377
"Ferguson, Caleb",65.1,2,51,22,18.9,8.1,6,0.329,0.271,0.29
"Kolek, Stephen",112.2,9,77,31,16.7,6.7,7,0.406,0.28,0.321
"Mena, Cristian",6.2,1,8,3,30.8,11.5,0,0.296,0.226,0.274
"Thompson, Mason",10.2,1,11,12,18.3,20,0,0.448,0.427,0.37
"Gerber, Joey",4.1,1,4,0,26.7,0,0,0.215,0.253,0.173
"Faucher, Calvin",60.1,8,59,24,23.1,9.4,3,0.387,0.302,0.323
"Povich, Cade",112.1,17,118,43,24.2,8.8,1,0.495,0.349,0.356
"Martin, Davis",142.2,20,104,48,17.3,8,6,0.465,0.322,0.347
"Barnett, Mason",22.1,3,18,11,17.3,10.6,1,0.378,0.355,0.307
"Fulmer, Carson",29.1,5,26,11,21.1,8.9,0,0.427,0.308,0.309
"Ragsdale, Carson",5,1,4,1,16,4,0,0.483,0.486,0.335
"Fisher, Braydon",50,4,62,19,30.7,9.4,3,0.351,0.248,0.285
"Núñez, Eduarniel",12.2,2,11,11,18.3,18.3,3,0.375,0.423,0.364
"Lively, Ben",44.2,6,29,15,16.3,8.4,0,0.46,0.302,0.332
"Megill, Tylor",68.1,6,89,33,29.2,10.8,7,0.347,0.303,0.306
"Suero, Wander",6.1,3,7,4,21.9,12.5,0,0.43,0.482,0.312
"Early, Connelly",19.1,0,29,4,36.7,5.1,1,0.284,0.239,0.24
"Hartlieb, Geoff",3.1,2,5,6,20.8,25,0,0.825,0.594,0.556
"Contreras, Luis",12,2,13,8,24.1,14.8,0,0.333,0.345,0.292
"Mlodzinski, Carmen",99,8,89,27,21.2,6.4,4,0.395,0.312,0.313
"Rainey, Tanner",9.2,0,11,9,23.4,19.1,1,0.333,0.321,0.361
"Eovaldi, Nathan",130,10,129,21,26,4.2,7,0.358,0.24,0.271
"VanWey, Logan",10.2,2,7,3,14.3,6.1,1,0.395,0.382,0.326
"Ribalta, Orlando",24.1,6,25,17,20.8,14.2,1,0.459,0.383,0.356
"Messick, Parker",39.2,4,38,6,23,3.6,0,0.368,0.315,0.274
"Winans, Allan",9.1,2,6,3,13,6.5,2,0.508,0.407,0.379
"Headrick, Brent",23,4,30,7,32.6,7.6,1,0.362,0.289,0.276
